#,Attendance Code,Status,Teacher,Registered At
1,58268328,UNUSED,,
2,20190695,UNUSED,,
3,52866540,UNUSED,,
4,32679833,UNUSED,,
5,37839931,UNUSED,,
6,71595629,UNUSED,,
7,10189943,UNUSED,,
8,42687009,UNUSED,,
9,17695555,UNUSED,,
10,80055139,UNUSED,,
11,35383899,UNUSED,,
12,81522242,UNUSED,,
13,96346079,UNUSED,,
14,19496079,UNUSED,,
15,63965967,UNUSED,,
16,35660096,UNUSED,,
17,88171059,UNUSED,,
18,69959241,UNUSED,,
19,16886117,UNUSED,,
20,81498032,UNUSED,,
21,40133718,UNUSED,,
22,15473617,UNUSED,,
23,45512057,UNUSED,,
24,77987949,UNUSED,,
25,99189215,UNUSED,,
26,38832185,UNUSED,,
27,60327050,UNUSED,,
28,18721078,UNUSED,,
29,92305014,UNUSED,,
30,39562057,UNUSED,,
31,71078424,UNUSED,,
32,73758523,UNUSED,,
33,69029411,UNUSED,,
34,47185371,UNUSED,,
35,43963729,UNUSED,,
36,76166694,UNUSED,,
37,98638803,UNUSED,,
38,67525572,UNUSED,,
39,53290387,UNUSED,,
40,83342795,UNUSED,,
41,86908262,UNUSED,,
42,43058381,UNUSED,,
43,54273830,UNUSED,,
44,38216113,UNUSED,,
45,86170938,UNUSED,,
46,68956291,UNUSED,,
47,74394893,UNUSED,,
48,88240207,UNUSED,,
49,38948335,UNUSED,,
50,60104623,UNUSED,,
